Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temperature_Difference,Mechanical_Power,Thermal_Load_Index,Torque_Speed_Interaction,Temperature_Ratio,Wear_Load_Index,Machine failure
M,298.1,308.6,1551,42.8,0,10.5,6951.5905601573495,72991.70088165217,66382.79999999999,1.0352230795035222,0.0,0
L,298.2,308.7,1408,46.3,3,10.5,6826.722724152668,71680.58860360301,65190.399999999994,1.0352112676056338,138.89999999999998,0
L,298.1,308.5,1498,49.4,5,10.399999999999977,7749.387542560967,80593.63044263388,74001.2,1.0348876216034886,247.0,0
L,298.2,308.6,1433,39.5,7,10.400000000000034,5927.504658915662,61646.04845272309,56603.5,1.034875922199866,276.5,0
L,298.2,308.7,1408,40.0,9,10.5,5897.816608339239,61927.07438756201,56320.0,1.0352112676056338,360.0,0
M,298.1,308.6,1425,41.9,11,10.5,6252.554778807085,65651.8251774744,59707.5,1.0352230795035222,460.9,0
L,298.1,308.6,1558,42.4,14,10.5,6917.703247400628,72635.8840977066,66059.2,1.0352230795035222,593.6,0
L,298.1,308.6,1527,40.2,16,10.5,6428.264055922363,67496.77258718481,61385.4,1.0352230795035222,643.2,0
M,298.3,308.7,1667,28.6,18,10.399999999999977,4992.6399890359235,51923.45588597349,47676.200000000004,1.0348642306402949,514.8000000000001,0
M,298.5,309.0,1741,28.0,21,10.5,5104.878622573175,53601.225537018334,48748.0,1.035175879396985,588.0,0
H,298.4,308.9,1782,23.9,24,10.5,4459.993426595285,46829.930979250494,42589.799999999996,1.0351876675603218,573.5999999999999,0
H,298.6,309.1,1423,44.3,29,10.5,6601.4181710127195,69314.89079563356,63038.899999999994,1.0351640991292699,1284.6999999999998,0
M,298.6,309.1,1339,51.1,34,10.5,7165.22933257697,75234.90799205819,68422.90000000001,1.0351640991292699,1737.4,0
M,298.6,309.2,1742,30.0,37,10.599999999999966,5472.6544025534195,58010.13666706606,52260.0,1.0354989953114533,1110.0,0
L,298.6,309.2,2035,19.6,40,10.599999999999966,4176.85215270275,44274.63281864901,39886.0,1.0354989953114533,784.0,0
L,298.6,309.2,1542,48.4,42,10.599999999999966,7815.528539894543,82844.60252288189,74632.8,1.0354989953114533,2032.8,0
M,298.6,309.2,1311,46.6,44,10.599999999999966,6397.602111623327,67814.58238320705,61092.6,1.0354989953114533,2050.4,0
M,298.7,309.2,1410,45.6,47,10.5,6733.061375173645,70697.14443932327,64296.0,1.0351523267492468,2143.2000000000003,0
H,298.8,309.2,1306,54.5,50,10.399999999999977,7453.6380101520235,77517.83530558087,71177.0,1.034805890227577,2725.0,0
M,298.9,309.3,1632,32.5,55,10.400000000000034,5554.3358115467545,57765.09244008644,53040.0,1.0347942455670793,1787.5,0
H,298.9,309.3,1375,42.7,58,10.400000000000034,6148.358622463025,63942.929673615676,58712.50000000001,1.0347942455670793,2476.6000000000004,0
L,298.8,309.3,1450,44.8,63,10.5,6802.595292573098,71427.25057201752,64959.99999999999,1.035140562248996,2822.3999999999996,0
M,298.9,309.3,1581,30.7,65,10.400000000000034,5082.7513383163905,52860.613918490635,48536.7,1.0347942455670793,1995.5,0
L,299.0,309.4,1758,25.7,68,10.399999999999977,4731.3013681593,49205.53422885662,45180.6,1.0347826086956522,1747.6,0
M,299.0,309.4,1561,37.3,70,10.399999999999977,6097.339157768726,63412.32724079461,58225.299999999996,1.0347826086956522,2611.0,0
L,299.0,309.5,1861,23.3,73,10.5,4540.784717670103,47678.239535536086,43361.3,1.0351170568561874,1700.9,0
L,299.1,309.5,1512,39.0,75,10.399999999999977,6175.114519896098,64221.191006919275,58968.0,1.0347709796054831,2925.0,0
H,299.1,309.4,1811,24.6,77,10.299999999999955,4665.327922433916,48052.87760106912,44550.600000000006,1.0344366432631225,1894.2,0
L,299.1,309.4,1439,44.2,82,10.299999999999955,6660.574360679817,68603.91591500181,63603.8,1.0344366432631225,3624.4,0
L,299.0,309.4,1693,30.1,84,10.399999999999977,5336.445417069278,55499.032337520366,50959.3,1.0347826086956522,2528.4,0
M,299.1,309.5,1339,48.2,86,10.399999999999977,6758.592051471818,70289.35733530676,64539.8,1.0347709796054831,4145.2,0
L,299.0,309.4,1798,25.5,89,10.399999999999977,4801.296052481281,49933.47894580521,45849.0,1.0347826086956522,2269.5,0
L,299.0,309.4,1419,48.3,91,10.399999999999977,7177.251160464705,74643.41206883277,68537.7,1.0347826086956522,4395.3,0
L,298.9,309.3,1665,32.5,93,10.400000000000034,5666.647748912589,58933.13658869112,54112.5,1.0347942455670793,3022.5,0
M,298.8,309.1,1559,34.7,95,10.300000000000011,5665.0560086347705,58350.0768889382,54097.3,1.034471218206158,3296.5000000000005,0
M,298.8,309.2,1452,48.6,98,10.399999999999977,7389.779903480055,76853.7109961924,70567.2,1.034805890227577,4762.8,0
M,298.9,309.2,1581,36.7,101,10.300000000000011,6076.122935381483,62584.066234429345,58022.700000000004,1.0344596855135497,3706.7000000000003,0
L,298.8,309.1,1439,39.2,104,10.300000000000011,5907.115722593864,60843.29194271687,56408.8,1.034471218206158,4076.8,0
H,298.9,309.2,1379,50.7,106,10.300000000000011,7321.51309511755,75411.58487971085,69915.3,1.0344596855135497,5374.200000000001,0
L,298.8,309.1,1350,52.5,111,10.300000000000011,7422.012644105886,76446.7302342907,70875.0,1.034471218206158,5827.5,0
L,298.8,309.1,1362,45.4,113,10.300000000000011,6475.3251138731375,66695.8486728934,61834.799999999996,1.034471218206158,5130.2,0
L,298.8,309.1,1368,50.8,115,10.300000000000011,7277.436550187684,74957.59646693323,69494.4,1.034471218206158,5842.0,0
M,298.8,309.1,1368,49.1,117,10.300000000000011,7033.900287681404,72449.17296311854,67168.8,1.034471218206158,5744.7,0
H,298.8,309.2,1372,48.5,120,10.399999999999977,6968.2619451724,72469.9242297928,66542.0,1.034805890227577,5820.0,0
M,298.8,309.1,1472,47.5,125,10.300000000000011,7322.005277966611,75416.65436305618,69920.0,1.034471218206158,5937.5,0
L,298.8,309.1,1489,49.1,128,10.300000000000011,7656.050824822814,78857.32349567507,73109.90000000001,1.034471218206158,6284.8,0
M,298.7,309.0,1843,25.8,130,10.300000000000011,4979.36152408675,51287.42369809358,47549.4,1.0344827586206897,3354.0,0
L,298.8,309.1,1418,46.3,133,10.300000000000011,6875.20797077307,70814.6420989627,65653.4,1.034471218206158,6157.9,0
H,298.8,309.2,1425,53.9,135,10.399999999999977,8043.262591353267,83649.9309500738,76807.5,1.034805890227577,7276.5,0
M,298.9,309.2,1412,44.1,140,10.300000000000011,6520.815375497118,67164.3983676204,62269.200000000004,1.0344596855135497,6174.0,0
L,298.9,309.1,2861,4.6,143,10.200000000000045,1378.1748092277944,14057.383054123566,13160.599999999999,1.0341251254600203,657.8,1
L,298.9,309.1,1383,54.9,145,10.200000000000045,7951.025431043871,81100.45939664784,75926.7,1.0341251254600203,7960.5,0
H,298.8,309.0,1497,43.8,147,10.199999999999989,6866.327735538923,70036.54290249693,65568.59999999999,1.034136546184739,6438.599999999999,0
L,298.7,309.0,1565,35.1,152,10.300000000000011,5752.413228355591,59249.85625206265,54931.5,1.0344827586206897,5335.2,0
L,298.7,309.0,1691,30.1,154,10.300000000000011,5330.141287811075,54900.45526445413,50899.100000000006,1.0344827586206897,4635.400000000001,0
L,298.8,309.1,1512,40.7,156,10.300000000000011,6444.286178455671,66376.14763809348,61538.4,1.034471218206158,6349.200000000001,0
L,298.8,309.1,1477,42.4,158,10.300000000000011,6558.053720417669,67547.95332030207,62624.799999999996,1.034471218206158,6699.2,0
L,298.8,309.1,1513,40.3,160,10.300000000000011,6385.171876690622,65767.27032991349,60973.899999999994,1.034471218206158,6448.0,0
M,298.8,309.0,1661,29.5,162,10.199999999999989,5131.215640985769,52338.399538054786,48999.5,1.034136546184739,4779.0,0
L,298.8,309.1,1378,54.4,165,10.300000000000011,7850.127946986078,80856.3178539567,74963.2,1.034471218206158,8976.0,0
L,298.8,309.1,1393,52.6,167,10.300000000000011,7673.004953176687,79031.95101771997,73271.8,1.034471218206158,8784.2,0
M,298.8,309.0,1592,38.2,169,10.199999999999989,6368.469075749037,64958.384572640105,60814.4,1.034136546184739,6455.8,0
L,298.8,309.0,1829,22.9,172,10.199999999999989,4386.092695407341,44738.14549315483,41884.1,1.034136546184739,3938.7999999999997,0
M,298.9,309.0,1812,25.9,174,10.100000000000023,4914.581883569728,49637.27702405437,46930.799999999996,1.0337905654064905,4506.599999999999,0
L,299.0,309.1,1523,38.6,177,10.100000000000023,6156.244020023534,62178.064602237835,58787.8,1.0337792642140469,6832.2,0
L,299.0,309.1,1394,45.1,179,10.100000000000023,6583.668172519939,66495.04854245154,62869.4,1.0337792642140469,8072.900000000001,0
